Name,Owner,Tagline,Description,BusinessServices,ServiceAreas
"Greenfingers Garden and Lawn Maintenance
","Sean Mc Donald
",,"We are a family business located in Maudsland ,with over 8 years experience in Horticulture,originally from the UK 
We decided to look for a new life and spread our knowledge and experience here in Australia. 
We pride ourselves on quality workmanship with affordability..",Gardeners|Landscapers|Lawn Mowing|Yard and Garden Work,
"Spic n Span Cleaning
",,,"• Vacate House Cleaning 
○ We do it all — window cleaning inside and out, window track cleaning, oven cleaning, general cleaning, carpet cleaning, pressure cleaning, rubbish removal & yard clean ups. 
○ We're fully insured and police cleared. 
○ We use environmentally friendly products.

• On-site, Commercial, and Office Cleaning 
○ All common areas cleaned using environmentally friendly products, toiletry and cleaning materials supplied 
○ One offs, daily, weekly, fortnightly, and monthly services available 
○ Blue card holder and safety trained, fully insured, and police cleared

• House Cleaning 
○ We do a time-saver house clean from $49 
○ All floors vacuumed thoroughly, all hard floors mopped clean, bathroom & toilets cleaned & sanitized, kitchen benches, hot plates, exterior doors, sink and taps, door handles, power points, light switches, skirting boards, and window sills wiped clean 
○ Other services are available upon request

Free tea towel service - conditions apply 
Fill out our online form for a free fast quote.",Home Cleaning|Office Cleaning,
"Rauda Carpet Cleaning and Installation
",,,,Carpet Cleaning,
"Oneworld Photography
",Ian,,"Oneworld Photography specialises in event photography, portraiture and pet photography. Your next party, special event, family get-together or corporate event could be made even more special with images you will cherish for a lifetime.

Oneworld Photography will exceed your expectations both in professionalism and in image quality. You will not be disappointed.",Weddings Photography|Events Photography|Product Photography,
"Artek Photography & Video
",Ryan,,"Full wedding day coverage + 1 hour pre-wedding photo shoot; 1 photographer 
Package inclusions: 20-page hardcover photo album; Unlimited images edited and provided on USB or DVD 
$1,950

Full wedding day coverage + 1 hour pre-wedding videography; 1 cameraman 
Package inclusions: 2 highlighted video 
$2250

Full day wedding photo/video coverage combined 
unlimited enhanced photos, Two highlighted videos and two lard prints on canvas 
$3950

1 hour product photo shoot, 
Digitally delivered images and full image usage rights 
$180

Birthday event coverage 
Unlimited full resolution photos on USB 
$450

2 hours indoor photoshoot for a family 
Full-resolution, professionally edited digital files 
$350

Please leave contactable phone number in order to quote you.

Choose a photography and makeup bundle and save %20.

We do Portrait, Head shot, Maternity & Newborn, Family, Christening, Products, Pets, Sport, Events, Real-Estate and Architectural plus Studio and Mobile Photography as well as Make up and Hair styling, blow dry, flower girl, eyebrow and more... 
Artek Photography & Makeup has variety of experiences and knowledge in a diverse photography and Makeup methods and areas.

We are also trained and experienced in digital retouching and enhancements to make sure all clients meet their required and desired photo quality.

You will be dealing with a team of professional Photographer and make up artists along with friendly assistance and crew to make sure your photo shoot becomes part of your photos you are going to keep for ever!

We also ensure your needs will be met as per your budget plus giving you a discount for you or your other family members/Friends when referring to us next time.

We create your digital files and photos in a different level.

Please feel free to request a quote by giving specific details including time and what exactly you want to get done. 
Students and Seniors get special discount.",Weddings Photography|Events Photography|Product Photography,
"Little Studio
",Mel Gibson,,"Mel Gaunson from Little Studio is a Pro 5 Star Member on Service Seeking based on her exceptional customer reviews and impeccable service delivery.

A qualified Natural Light Photographer (Dip Photog 2010), with a strong contemporary style of bright, Mel's beautifully composed images are shot either on location or in her beautiful waterfront studio. She provides Wedding Photography, Newborn & Family Portraits plus Event Photography (including stylish open Photobooth & Flower Wall Hire).

Mel brings passion and fresh perspective to each and every job; yet importantly produces consistent results every time for her clients... her style instantly recognisable.

Call her today on 0402 611 196 or visit the website at www.littlestudio.com.au for an obligation free call or meeting at a location of your choice!

Wedding Photography Overview:

""…You will blink and before you know it, not only will your wedding day have whizzed by, but you will be happily celebrating your 10th wedding anniversary…

Nostalgia in Greek literally means ‘the pain from an old wound‘. A twinge in your heart far more powerful than memory alone.

Mel Gaunson from Little Studio loves to capture those unmissable details at Weddings… the stunning bouquets, the dress, his expression as she appears at the end of aisle; however the thing she focuses on most is capturing the raw emotion surrounding the day.

Those fleetingly rare moments that would be gone forever had she not been waiting & watching for that precise time to press the shutter...

Dianna, One of Mels recent Brides wrote “It is true that a picture paints a thousand words, and it is equally true that Mel’s photos paint a thousand emotions.”

Life is a journey full of ups and downs and that twinge of pain stemming from leaving one important chapter of your life behind to start the next is lessened when you have photographs that leave you breathless with nostalgia.

Moments captured, to be treasured forever… Your memories. Your pictures. Your future.",Photography,
"Evermore Photographics
",Clint,,"Gillian and I have been photographing weddings,parties,engagements, fashion, modelling, children, pets and babies for over 25 years. I have photographed over 700 weddings and offer a personalized service that is based on you and I working in partnership around your wedding photography. 
My portraiture style is relaxed, creative and informal. I usually photograph outdoors but will work with you around your wishes. Please visit my website above for pricing, packages, galleries and testimonials. 
Commercial photography engagements have included real estate awards, orchestras and sporting nights

Finalist on 5 occasions in ABIA Awards. Awarded a 5 star rating for exemplary customer service by Easy Weddings.",Weddings Photography|Events Photography|Product Photography,
"Blacktie Wedding Hire
",Biff,,"Black Tie Wedding Hire is a 24 hour Limousine and exotic car transfer service. We are in a unique position to also offer Licensed private security guards as either drivers or to accompany you on your transfer.

We offer a fully personalized service where any package can be tailored to your choosing. Privacy is guaranteed no matter what the event or function is.

------------------------------------------------------------------------------------------------------

SERVICES OFFERED:

VIP SERVICE 
- We provide specialized VIP Services which can include a variety of vehicles and additional security personnel. Flexible packages are tailored to your individual needs

WEDDING SERVICE 
- Book your next wedding event with us and experience the commitment, high levels of care and quality cars that we have to offer. Transport your wedding party and VIP guests in style and ensure its an event that is never forgotten!

PRIVATE SERVICE 
- Forget waiting for taxis at the airport! book with us and have a member of our team take you to the airport when you leave, and be waiting for you at the arrival gate on return. Treat yourself or your loved ones to a seamless journey.

CORPORATE 
Hosting a corporate function or large scale event? Have BlackTie take care of the hassles of transport to and from venues. We also offer security services for transport and venues as well as licensed traffic control. Take care of every possible angle with the one, easy company to ensure a simple and seamless event.",Limo Services,
Wedding Cars,richard,,"Your wedding day will be made memorable and effortless with a1 limousines hire Sydney., We offer the best, most complete and well prepared wedding limousine service for your special day.YES, WE ARE LOCAL! 
Our limousines, fairfield-reception Sydney‘s Wedding Hills District,Wedding cars Ashfield, Wedding cars Auburn, Wedding cars Bankstown, ,Wedding cars Blue Mountains, Botany Bay, Burwood, Camden, Campbelltown, Canterbury, Eastern Suburbs, Fairfield, Central Coast, Area, Hornsby, Kogarah, Lane Cove, Leichardt, Liverpool, Manly, Mosman, North Sydney, Wedding cars Parramatta, Penrith, Pittwater, Rockdale, Ryde, Strathfield, and the Sutherland Shire ,Wedding cars Homebush, olympic park randwick-limousine. wedding, car, hire, guildford, limousines, punchbowl

YES, WE ALSO OFFER…..

* Wedding Limo Hire 
* Wedding Getaway Car Hire

*wedding planner

* School Formals 
* Wedding Getaways

We can offer the following services

* Wedding Make Up 
* Wedding Photography 
* Wedding Video

Stretched Hummer hire 
2 bottles chilled champagne 
Uniformed chauffeur 
White ribbon & wheel cover 
Red carpet upon arrival 
White ribbon & wheel cover Wedding Cars Sydney ,Limousine Hire Sydney ,Sydney hummers | Hummer Limo",Limo Services,
Well Planned Weddings & Events,Bianca Rees,,"Our Planners and Stylists at Well Planned Weddings and Events can do all the sourcing, negotiating and securing of all services and products for you. Which means, your wedding or event is exactly as you had dreamed it would be, without the stress of trying to do it all yourself!

Wedding and Event Planning 
Day Coordination 
Marriage Proposal Planning 
Bespoke Reception and Ceremony Styling 
Lolly and Dessert Buffets 
Trade Show Styling and Design (booths) 
Meetings and Conferences 
Destination Weddings

We can design, theme and style flowers, centrepieces, and decorations to suit your theme and budget, often at wholesale prices.

We take the event preparations off your shoulders but never out of your hands.

Email or message any time for a fast return quote.",Wedding Planners,
GastroLove LLC - Private Chefs,,,"Our Chefs are doing the shopping, hosting their creative menus and putting on the show in YOUR kitchen. 3 - 7 Courses, Creative Menu, 
5-Star Background",Caterers,
Heat Catering,Catherine,,"As a social enterprise, Heat Catering is proud to provide long term sustainability for SKYS by reinvesting 100% of profits into providing services to young people who are disadvantaged, homeless, at risk of homelessness or suffering from mental health issues.

Catering is a natural extension for SKYS as we have gathered experience and industry partners through the development and delivery of the HEAT Training Certificate II in Hospitality. 
HEAT Training sees disadvantaged youth receive a Certificate II in Hospitality and a pathway into the local workforce.

Our Patron Guy Grossi is a longtime supporter of HEAT and provides mentoring, work experience and a professional masterclass for the young people involved in the program.

HEAT Catering also provides employment pathways for young people who have completed their Certificate II so that young people have authentic employment and are supported.

Since operation, Heat Catering has provided employment to over 85 young people who reengaged through the HEAT Training Program. HEAT Catering was also able to hire our first apprentice chef who came through the HEAT Training program.",Caterers,
Onsite Functions and Catering,Craig Mc Gavin,,"For all your function needs,

We provide a onsite catering service catered to your requirements.

We also can provide chefs, wait and bar staff.

Call us now for a quote",Caterers,
Splendid Occasions,Rebeccah,,"If you think that a Personal Wedding or Events Coordinator is not within your budget, think again. To assist you in your big day, NO task is too big or too small, and I am there as your primary contact up to and including your special Occasion. I can help save you money by negotiating contracts with different vendors, and better yet, save you the time and stress of having to do the hard running around. Lets face it, time is precious these days and if I can assist you in the hundreds of hours planning that is required to stage the perfect wedding or event, I am absolutely delighted to!",Wedding Planners,
After Party Rescue,,,"After Party Rescue provide cleaning services for residential homes and after special events. Whether its for a house inspection or after a house party, After Party Rescue can clean it. And as a bonus, we have a Rescue Chef who can cook you & your friends breakfast the morning after, to help with your party recovery!

",Home Cleaning,
Abbey Catering and Coordinating,,,"We are a professional catering service specializing in off premise events. Organization is the key. Three exclusive chefs and six servers rotate events so we are fresh and ready to give expertise to make your vision come true. We also happen to be a non profit, which means you get a great price with high quality. Let's sit down and discuss what you want to work within your venue and budget. Our wedding planner is ready to assists with any question you may have.",Caterers,
Epicurean Nutrition Catering,,,"At Epicurean Nutrition Catering, our Chefs take personal pride in creating and presenting your food the way you envision it. Each customer is treated on a one-on-one basis, we give each client attention to detail. We carefully listen and anticipate every client's needs.",Caterers,
Mj Creations Sweets & Treats,,,"We are a small - woman run business, so we pride our - self in giving the personal touch. To each and every event we cater. With that said, I can also add each meal is cook like your grandmother would! ",Caterers,
Creativity Fortified,,,"Creativity Fortified provides the highest-quality service possible. We have both hands-on experience behind the bar and also in the classroom, helping new and seasoned bartenders to perfect their craft. We take pride in providing excellent quality service with a creative spin and will always go the extra mile to customize your event to your unique taste/needs.",Bartenders,
Complete Grounds Care,Reid Sampson,,"All forms of garden maintenance. 
- lawn mowing - large and small areas 
- Hedge Trimming 
- Tree Trimming and lopping 
- Weed Spraying 
- Block and acerage slashing 
- Rubbish Removal",Gardeners,
